,RS,Group
TCGA-HU-A4GT-01A,-1.60855173286319,Low
TCGA-HU-A4GU-01A,-1.33256092608434,Low
TCGA-HU-A4GX-01A,-0.469826348625955,Low
TCGA-HU-A4H0-01A,-1.41847477205238,Low
TCGA-HU-A4H2-01A,-0.479592189534305,Low
TCGA-HU-A4H3-01A,-1.82908789058034,Low
TCGA-HU-A4H4-01A,-1.71242326439873,Low
TCGA-HU-A4H5-01A,-1.23586027641442,Low
TCGA-HU-A4H6-01A,-0.85880200696132,Low
TCGA-HU-A4H8-01A,-2.54325361504687,Low
TCGA-HU-A4HB-01A,-1.39386706474537,Low
TCGA-HU-A4HD-01A,-0.93009709659829,Low
TCGA-IN-7806-01A,0.161640780678983,Low
TCGA-IN-7808-01A,1.272109,High
TCGA-IN-8462-01A,0.51231347977049,High
TCGA-IN-8663-01A,0.480165443910671,High
TCGA-IN-A6RI-01A,-2.21037687792361,Low
TCGA-IN-A6RJ-01A,-0.521514600264501,Low
TCGA-IN-A6RL-01A,-0.716212292071488,Low
TCGA-IN-A6RN-01A,-1.47283348179661,Low
TCGA-IN-A6RR-01A,1.564871,High
TCGA-IN-A6RS-01A,-0.900886615645825,Low
TCGA-IN-A7NR-01A,-0.0961990880064098,Low
TCGA-IN-A7NT-01A,0.00483604292398835,Low
TCGA-IN-A7NU-01A,0.278427926568903,Low
TCGA-IN-AB1V-01A,-1.23273143716849,Low
TCGA-IN-AB1X-01A,-2.22456196105599,Low
TCGA-IP-7968-01A,0.282739646812395,Low
TCGA-KB-A6F7-01A,-1.66842964436429,Low
TCGA-KB-A93G-01A,1.24752751124053,High
TCGA-KB-A93H-01A,-2.09100448056422,Low
TCGA-KB-A93J-01A,-1.06625715457992,Low
TCGA-MX-A5UG-01A,0.963642571315235,High
TCGA-MX-A5UJ-01A,0.48307946957205,High
TCGA-MX-A663-01A,2.06857957298754,High
TCGA-MX-A666-01A,-1.28338663969249,Low
TCGA-R5-A7O7-01A,-0.524380629398643,Low
TCGA-R5-A7ZF-01A,-0.755424514044982,Low
TCGA-R5-A7ZI-01A,-0.727958004498487,Low
TCGA-R5-A7ZR-01A,1.861704,High
TCGA-R5-A805-01A,-0.693938216208917,Low
TCGA-RD-A7BS-01A,0.764584804538809,High
TCGA-RD-A7BT-01A,-1.30109660442655,Low
TCGA-RD-A7BW-01A,3.61240724990993,High
TCGA-RD-A7C1-01A,-0.734122548945595,Low
TCGA-RD-A8MV-01A,-0.896985237298257,Low
TCGA-RD-A8MW-01A,1.21270345903486,High
TCGA-RD-A8N0-01A,-0.8178421,Low
TCGA-RD-A8N1-01A,-1.339134,Low
TCGA-RD-A8N2-01A,-1.446742,Low
TCGA-RD-A8N4-01A,-0.726657,Low
TCGA-RD-A8N5-01A,1.00859544437677,High
TCGA-RD-A8N6-01A,1.25422929230232,High
TCGA-RD-A8N9-01A,1.90620031914695,High
TCGA-RD-A8NB-01A,0.818809460483448,High
TCGA-SW-A7EA-01A,-0.268055807465165,Low
TCGA-SW-A7EB-01A,-1.18242567270205,Low
TCGA-VQ-A8DT-01A,-1.86289446571881,Low
TCGA-VQ-A8DU-01A,0.51292848440038,High
TCGA-VQ-A8DV-01A,-0.665104885297989,Low
TCGA-VQ-A8DZ-01A,-1.04597576562497,Low
TCGA-VQ-A8E0-01A,-2.46532909863177,Low
TCGA-VQ-A8E2-01A,1.18248976194294,High
TCGA-VQ-A8E3-01A,-1.36473199286786,Low
TCGA-VQ-A8P2-01A,-2.20064022918228,Low
TCGA-VQ-A8P3-01A,-0.279830609263788,Low
TCGA-VQ-A8P5-01A,0.781724078321831,High
TCGA-VQ-A8P8-01A,-0.522438829520961,Low
TCGA-VQ-A8PB-01A,-0.612182487138708,Low
TCGA-VQ-A8PC-01A,-0.397976303009006,Low
TCGA-VQ-A8PD-01A,-0.28607422831801,Low
TCGA-VQ-A8PE-01A,-0.551778031250335,Low
TCGA-VQ-A8PF-01A,0.4480397,High
TCGA-VQ-A8PH-01A,-1.15675179340474,Low
TCGA-VQ-A8PJ-01A,1.50433,High
TCGA-VQ-A8PK-01A,-1.11243974129624,Low
TCGA-VQ-A8PM-01A,0.5316297,High
TCGA-VQ-A8PO-01A,-0.379464321016424,Low
TCGA-VQ-A8PP-01A,0.354482740294499,High
TCGA-VQ-A8PQ-01A,0.36254797534846,High
TCGA-VQ-A8PU-01A,-1.50778726586708,Low
TCGA-VQ-A8PX-01A,-1.98245487958426,Low
TCGA-VQ-A91A-01A,-0.6216921,Low
TCGA-VQ-A91D-01A,-0.415958352756941,Low
TCGA-VQ-A91E-01A,-2.64818164320731,Low
TCGA-VQ-A91K-01A,-0.518677978019525,Low
TCGA-VQ-A91N-01A,-2.09924298807539,Low
TCGA-VQ-A91Q-01A,0.764034480765182,High
TCGA-VQ-A91S-01A,-0.873475605830359,Low
TCGA-VQ-A91U-01A,1.376259,High
TCGA-VQ-A91V-01A,-1.21011602178601,Low
TCGA-VQ-A91X-01A,-1.93394323432409,Low
TCGA-VQ-A91Y-01A,2.74926563018563,High
TCGA-VQ-A91Z-01A,-1.58751433185318,Low
TCGA-VQ-A922-01A,0.922049911171919,High
TCGA-VQ-A924-01A,-0.89137190854261,Low
TCGA-VQ-A925-01A,1.048674,High
TCGA-VQ-A927-01A,0.8372444,High
TCGA-VQ-A928-01A,1.37083010500391,High
TCGA-VQ-A92D-01A,-0.32509181708606,Low
TCGA-VQ-A94O-01A,-1.01736017261309,Low
TCGA-VQ-A94P-01A,1.50017409822036,High
TCGA-VQ-A94R-01A,1.62506562282876,High
TCGA-VQ-A94T-01A,-1.1263396867662,Low
TCGA-VQ-A94U-01A,0.655332627038756,High
TCGA-VQ-AA64-01A,1.93847767735936,High
TCGA-VQ-AA68-01A,-1.26274929803656,Low
TCGA-VQ-AA69-01A,-1.89495131837468,Low
TCGA-VQ-AA6A-01A,-0.177407376164438,Low
TCGA-VQ-AA6D-01A,-1.94085764814301,Low
TCGA-VQ-AA6F-01A,-1.31876975309668,Low
TCGA-VQ-AA6G-01A,-1.05524254451585,Low
TCGA-VQ-AA6J-01A,-2.02898683902198,Low
TCGA-VQ-AA6K-01A,0.478963431549725,High
TCGA-ZA-A8F6-01A,-0.124614732686465,Low
