"ID","Corr","Pval","Corr1","Pval1","Corr2","Pval2","Beta-mean1","Beta-mean2","Beta.KW.test.Pval","Beta.Sig","Zscore-mean1","Zscore-mean2","Zscore.KW.test.Pval","Zscore.Sig"
"TMEM216",-0.474018934288723,8.13129565396048e-29,-0.418296580324954,2.70702134607071e-07,-0.496275665087325,3.67272243309846e-23,0.0784165694,0.0769848162228571,0.293474113922003,"",0.0240975206950356,-0.00963900827801408,0.415476464971835,""
"TRIM58",-0.644369727372311,7.84680332723053e-59,-0.640480199427085,0,-0.641038228758332,6.78006274366023e-42,0.346885523814286,0.373150125965714,0.287031792643907,"",0.10737848256899,-0.0429513930275958,0.332035684432602,""
"USP44",-0.552628429064538,1.57269676883019e-40,-0.571021845137872,0,-0.545835457258154,1.44680278917861e-28,0.444785118367347,0.390708350040816,0.00125954437259331,"**",-0.086402043227184,0.0345608172908736,0.211541675953935,""
"ZFP28",-0.72008355739065,1.7714402946839e-79,-0.652104699219348,0,-0.739301402381549,9.87074253357241e-62,0.393194924489796,0.336831990040816,0.00448943136769618,"**",-0.205397823496473,0.0821591293985892,0.00112947280926695,"**"
"ZFP82",-0.637144552799443,3.66628986019465e-57,-0.619426647132142,0,-0.63011046041562,3.9797689983799e-40,0.41554289,0.371989194904762,0.00903800259485183,"**",-0.270221287293323,0.108088514917329,1.93691114508736e-05,"***"
"ZIK1",-0.558736092468021,1.4167496050187e-41,-0.417072026713012,2.95669840668688e-07,-0.599217047616845,1.72648959447335e-35,0.502925063214286,0.464566457107143,0.00243316218912155,"**",-0.179276884834444,0.0717107539337778,0.00180316425413437,"**"
"ZNF135",-0.578672487124071,3.83553156320085e-45,-0.421923859089021,2.73970841680842e-07,-0.618452238718805,2.57301394577826e-38,0.543549386285714,0.514587332857143,0.0153137685718337,"*",-0.228171024053131,0.0912684096212524,0.000604698015452539,"***"
"ZNF214",-0.642172936926357,2.55310071966581e-58,-0.647207197751582,5.62931161354777e-18,-0.62841509636753,7.37809728854896e-40,0.247239731493507,0.193750368025974,0.0019120210388643,"**",-0.276316046322046,0.110526418528818,0.000153652834161321,"***"
"ZNF223",-0.185879402056681,3.4693798473525e-05,-0.108320869087079,0.202687868229999,-0.210270028849925,7.36653258689673e-05,0.119883744285714,0.144966621285714,0.00943758446490087,"**",0.153475571472128,-0.0613902285888513,0.105663768488769,""
"ZNF287",-0.656888810281856,7.8081473014506e-62,-0.679617764754762,0,-0.652594292276421,7.60491838331622e-44,0.194957295255102,0.161388260559184,0.0245562648923256,"*",-0.0295010041041823,0.0118004016416729,0.841585583447785,""
