"The Wheeler criterion","The MethylMix algorithm","Intersection"
NA,"TAGLN3",NA
NA,"TBC1D17",NA
NA,"TBX18",NA
NA,"TCEAL2",NA
NA,"TCEAL8",NA
NA,"TCF15",NA
NA,"TCP11",NA
NA,"TDRD1",NA
NA,"TDRD12",NA
NA,"TFCP2",NA
NA,"TFF1",NA
NA,"TFPI2",NA
NA,"THAP7",NA
NA,"THBD",NA
NA,"THEM4",NA
NA,"TLX3",NA
NA,"TMEM106A",NA
NA,"TMEM139",NA
NA,"TMEM171",NA
NA,"TMEM179",NA
NA,"TMEM216",NA
NA,"TMEM25",NA
NA,"TMEM42",NA
NA,"TMEM82",NA
NA,"TMEM88B",NA
NA,"TMPRSS11A",NA
NA,"TMSB15A",NA
NA,"TRAM1L1",NA
NA,"TRIL",NA
NA,"TRIM58",NA
NA,"TRIM61",NA
NA,"TRIM68",NA
NA,"TRMT12",NA
NA,"TSGA10IP",NA
NA,"TSHZ3",NA
NA,"TSPYL2",NA
NA,"TSTD1",NA
NA,"TTC23",NA
NA,"TULP2",NA
NA,"UBB",NA
NA,"UCHL1",NA
NA,"UCN3",NA
NA,"UGT1A6",NA
NA,"UGT1A8",NA
NA,"UGT8",NA
NA,"USP4",NA
NA,"USP44",NA
NA,"VAMP5",NA
NA,"VANGL2",NA
NA,"VSIG2",NA
NA,"WDR17",NA
NA,"WDR76",NA
NA,"WFIKKN2",NA
NA,"WNK3",NA
NA,"XAGE3",NA
NA,"XIST",NA
NA,"ZC4H2",NA
NA,"ZFP28",NA
NA,"ZFP30",NA
NA,"ZFP37",NA
NA,"ZFP42",NA
NA,"ZFP82",NA
NA,"ZIK1",NA
NA,"ZNF10",NA
NA,"ZNF134",NA
NA,"ZNF135",NA
NA,"ZNF136",NA
NA,"ZNF14",NA
NA,"ZNF141",NA
NA,"ZNF154",NA
NA,"ZNF155",NA
NA,"ZNF160",NA
NA,"ZNF175",NA
NA,"ZNF211",NA
NA,"ZNF214",NA
NA,"ZNF215",NA
NA,"ZNF223",NA
NA,"ZNF229",NA
NA,"ZNF234",NA
NA,"ZNF253",NA
NA,"ZNF254",NA
NA,"ZNF256",NA
NA,"ZNF257",NA
NA,"ZNF268",NA
NA,"ZNF287",NA
NA,"ZNF30",NA
NA,"ZNF300",NA
NA,"ZNF304",NA
NA,"ZNF334",NA
NA,"ZNF345",NA
NA,"ZNF347",NA
NA,"ZNF35",NA
NA,"ZNF350",NA
NA,"ZNF354C",NA
NA,"ZNF382",NA
NA,"ZNF415",NA
NA,"ZNF418",NA
NA,"ZNF420",NA
NA,"ZNF426",NA
NA,"ZNF429",NA
NA,"ZNF43",NA
NA,"ZNF430",NA
NA,"ZNF433",NA
NA,"ZNF44",NA
NA,"ZNF440",NA
NA,"ZNF441",NA
NA,"ZNF442",NA
NA,"ZNF443",NA
NA,"ZNF454",NA
NA,"ZNF461",NA
NA,"ZNF470",NA
NA,"ZNF471",NA
NA,"ZNF480",NA
NA,"ZNF486",NA
NA,"ZNF491",NA
NA,"ZNF492",NA
NA,"ZNF493",NA
NA,"ZNF501",NA
NA,"ZNF506",NA
NA,"ZNF518B",NA
NA,"ZNF525",NA
NA,"ZNF527",NA
NA,"ZNF528",NA
NA,"ZNF529",NA
NA,"ZNF544",NA
NA,"ZNF549",NA
NA,"ZNF561",NA
NA,"ZNF563",NA
NA,"ZNF566",NA
NA,"ZNF567",NA
NA,"ZNF568",NA
NA,"ZNF569",NA
NA,"ZNF570",NA
NA,"ZNF572",NA
NA,"ZNF573",NA
NA,"ZNF582",NA
NA,"ZNF583",NA
NA,"ZNF585A",NA
NA,"ZNF585B",NA
NA,"ZNF586",NA
NA,"ZNF600",NA
NA,"ZNF606",NA
NA,"ZNF607",NA
NA,"ZNF613",NA
NA,"ZNF614",NA
NA,"ZNF615",NA
NA,"ZNF625",NA
NA,"ZNF626",NA
NA,"ZNF649",NA
NA,"ZNF655",NA
NA,"ZNF665",NA
NA,"ZNF671",NA
NA,"ZNF675",NA
NA,"ZNF677",NA
NA,"ZNF680",NA
NA,"ZNF681",NA
NA,"ZNF682",NA
NA,"ZNF69",NA
NA,"ZNF695",NA
NA,"ZNF701",NA
NA,"ZNF708",NA
NA,"ZNF714",NA
NA,"ZNF737",NA
NA,"ZNF738",NA
NA,"ZNF75A",NA
NA,"ZNF761",NA
NA,"ZNF772",NA
NA,"ZNF781",NA
NA,"ZNF790",NA
NA,"ZNF793",NA
NA,"ZNF799",NA
NA,"ZNF8",NA
NA,"ZNF808",NA
NA,"ZNF814",NA
NA,"ZNF829",NA
NA,"ZNF83",NA
NA,"ZNF841",NA
NA,"ZNF844",NA
NA,"ZNF85",NA
NA,"ZNF878",NA
NA,"ZNF879",NA
NA,"ZNF880",NA
NA,"ZNF90",NA
NA,"ZNF91",NA
NA,"ZNF93",NA
NA,"ZP1",NA
NA,"ZSCAN12",NA
NA,"ZSCAN16",NA
NA,"ZSCAN23",NA
NA,"ZYG11A",NA
